"year","month","time","ts","vei","latitude","longitude","deaths"
1888,7,"1888-7-15 00:00:00",1888.54,4,37.6,140.08,461
1889,9,"1889-9-15 00:00:00",1889.71,2,3.138,125.491,NA
1890,6,"1890-6-15 00:00:00",1890.46,2,0.32,127.4,NA
1890,NA,"1890-07-01 00:00:00",1890.5,2,-9.2,149.07,NA
1892,5,"1892-5-15 00:00:00",1892.38,2,0.686,99.539,180
1892,6,"1892-6-15 00:00:00",1892.46,3,3.67,125.5,1532
1892,8,"1892-8-15 00:00:00",1892.62,2,-19.75,-175.07,NA
1893,1,"1893-1-15 00:00:00",1893.04,4,-41.326,-72.614,NA
1893,5,"1893-5-15 00:00:00",1893.38,2,37.73,140.25,2
1894,10,"1894-10-15 00:00:00",1894.79,3,-16.25,168.12,10
1895,5,"1895-5-15 00:00:00",1895.38,2,-8.108,112.92,NA
1895,6,"1895-6-15 00:00:00",1895.46,2,-4.649,145.964,1
1895,NA,"1895-07-01 00:00:00",1895.5,2,-5.056,150.108,NA
1895,10,"1895-10-15 00:00:00",1895.79,2,31.93,130.87,4
1896,3,"1896-3-15 00:00:00",1896.21,2,31.93,130.87,1
1897,3,"1897-3-15 00:00:00",1897.21,2,-10.38,165.8,NA
1897,5,"1897-5-15 00:00:00",1897.38,3,13.257,123.685,350
1899,NA,"1899-07-01 00:00:00",1899.5,2,-4.1,145.061,2
1899,11,"1899-11-15 00:00:00",1899.88,4,1.47,-76.92,55
1900,1,"1900-1-15 00:00:00",1900.04,2,36.4,138.53,25
1900,2,"1900-2-15 00:00:00",1900.12,2,31.93,130.87,2
1900,7,"1900-7-15 00:00:00",1900.54,2,37.62,140.28,72
1901,5,"1901-5-15 00:00:00",1901.38,3,-7.93,112.308,NA
1902,5,"1902-5-15 00:00:00",1902.38,4,13.33,-61.18,1680
1902,5,"1902-5-15 00:00:00",1902.38,4,14.82,-61.17,28000
1902,8,"1902-8-15 00:00:00",1902.62,3,30.48,140.32,125
1902,8,"1902-8-15 00:00:00",1902.62,4,14.82,-61.17,1500
1902,10,"1902-10-15 00:00:00",1902.79,6,14.756,-91.552,2500
1902,12,"1902-12-15 00:00:00",1902.96,2,-7.542,110.442,16
1904,2,"1904-2-15 00:00:00",1904.12,2,-11.75,43.38,1
1905,3,"1905-3-15 00:00:00",1905.21,2,40.821,14.426,1
1905,8,"1905-8-15 00:00:00",1905.62,2,-13.612,-172.525,NA
1906,4,"1906-4-15 00:00:00",1906.29,3,40.821,14.426,350
1907,8,"1907-8-15 00:00:00",1907.62,2,12.88,40.57,NA
1907,9,"1907-9-15 00:00:00",1907.71,2,-8.53,122.775,1
1909,4,"1909-4-15 00:00:00",1909.29,2,4.203,9.17,NA
1909,9,"1909-9-15 00:00:00",1909.71,2,-8.108,112.92,221
1910,7,"1910-7-15 00:00:00",1910.54,2,42.53,140.83,1
1911,1,"1911-1-15 00:00:00",1911.04,3,14.002,120.993,1335
1911,5,"1911-5-15 00:00:00",1911.38,2,36.4,138.53,1
1911,8,"1911-8-15 00:00:00",1911.62,2,36.4,138.53,NA
1911,11,"1911-11-15 00:00:00",1911.88,3,-8.108,112.92,NA
1912,9,"1912-9-15 00:00:00",1912.71,6,58.27,-155.16,2
1912,12,"1912-12-15 00:00:00",1912.96,3,-1.408,29.2,20
1913,1,"1913-1-15 00:00:00",1913.04,4,19.514,-103.62,13
1913,3,"1913-3-15 00:00:00",1913.21,2,3.67,125.5,NA
1913,6,"1913-6-15 00:00:00",1913.46,2,-8.108,112.92,NA
1913,12,"1913-12-15 00:00:00",1913.96,3,-16.25,168.12,21
1914,1,"1914-1-15 00:00:00",1914.04,4,31.58,130.67,28
1914,1,"1914-1-15 00:00:00",1914.04,3,-5.58,150.52,NA
1916,3,"1916-3-15 00:00:00",1916.21,4,-1.467,-78.442,NA
1916,7,"1916-7-15 00:00:00",1916.54,3,38.789,15.213,NA
1917,1,"1917-1-15 00:00:00",1917.04,3,-2.751,35.902,NA
1917,4,"1917-4-15 00:00:00",1917.29,3,-41.326,-72.614,NA
1917,6,"1917-6-15 00:00:00",1917.46,3,13.736,-89.286,325
1918,7,"1918-7-15 00:00:00",1918.54,3,3.138,125.491,NA
1918,10,"1918-10-15 00:00:00",1918.79,4,63.63,-19.05,NA
1919,5,"1919-5-15 00:00:00",1919.38,4,-7.93,112.308,5110
1919,5,"1919-5-15 00:00:00",1919.38,3,38.789,15.213,4
1920,7,"1920-7-15 00:00:00",1920.54,3,-7.542,110.442,33
1920,10,"1920-10-15 00:00:00",1920.79,3,13.813,-89.633,NA
1923,3,"1923-3-15 00:00:00",1923.21,2,10.158,109.014,NA
1923,7,"1923-7-15 00:00:00",1923.54,2,31.93,130.87,1
1924,5,"1924-5-15 00:00:00",1924.38,2,19.425,-155.292,1
1926,5,"1926-5-15 00:00:00",1926.38,3,43.42,142.68,144
1928,1,"1928-1-15 00:00:00",1928.04,2,36.404,25.396,48
1928,1,"1928-1-15 00:00:00",1928.04,3,13.257,123.685,NA
1928,5,"1928-5-15 00:00:00",1928.38,2,-7.2,109.92,40
1928,8,"1928-8-15 00:00:00",1928.62,3,-8.32,121.708,98
1929,1,"1929-1-15 00:00:00",1929.04,3,-41.326,-72.614,NA
1929,6,"1929-6-15 00:00:00",1929.46,4,42.07,140.68,2
1929,8,"1929-8-15 00:00:00",1929.62,2,37.734,15.004,2
1929,11,"1929-11-15 00:00:00",1929.88,3,14.756,-91.552,200
1930,3,"1930-3-15 00:00:00",1930.21,2,-6.102,105.423,NA
1930,8,"1930-8-15 00:00:00",1930.62,3,36.4,138.53,6
1930,9,"1930-9-15 00:00:00",1930.71,3,38.789,15.213,5
1930,12,"1930-12-15 00:00:00",1930.96,3,-7.542,110.442,1369
1931,8,"1931-8-15 00:00:00",1931.62,3,36.4,138.53,3
1932,1,"1932-1-15 00:00:00",1932.04,4,14.473,-90.88,NA
1932,10,"1932-10-15 00:00:00",1932.79,3,36.62,138.55,2
1933,1,"1933-1-15 00:00:00",1933.04,3,49.12,154.508,NA
1933,12,"1933-12-15 00:00:00",1933.96,4,30.43,130.22,8
1933,12,"1933-12-15 00:00:00",1933.96,2,12.77,124.05,NA
1936,2,"1936-2-15 00:00:00",1936.12,3,36.4,138.53,2
1937,2,"1937-2-15 00:00:00",1937.12,2,-38.692,-71.729,3
1937,5,"1937-5-15 00:00:00",1937.38,4,-4.271,152.203,507
1938,6,"1938-6-15 00:00:00",1938.46,2,13.257,123.685,NA
